,height_cm,weight_kg,id,path_to_images
0,160.0,59.0,14244,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{3443CD57-FEF7-4649-A090-43DABD317326}SDs.JPG
1,160.0,54.0,14245,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{BAC841FD-FD9D-4860-8A63-FCAC669353E1}SDs.JPG
2,177.8,91.0,14246,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{3D68339F-F59C-465D-B67E-633AD64D99BA}SDs.JPG
3,160.0,80.0,14255,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{DBE943E7-2384-416F-8DEE-AF31FA90F62C}SDs.JPG
4,172.7,80.0,14256,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{28674D61-0895-429D-9942-F8AC37941C77}SDs.JPG
5,162.5,60.0,14257,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{A00CB032-4A60-494A-AFC6-DE22FFE3D633}SDs.JPG
6,167.6,68.0,14258,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{2DCFC524-B19C-4EB1-8F9B-D4C69A1061EE}SDs.JPG
7,168.9,56.0,14259,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{2D41004B-206E-41FC-BDBF-128E84D9F913}SDs.JPG
8,171.4,64.0,14260,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{DCE8E2D5-E3D1-46AF-AE2F-A11AD30DF414}SDs.JPG
9,162.5,77.0,14261,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{CCE83186-08EC-490F-8FD3-B3506D77A2CA}SDs.JPG
10,187.9,107.0,14262,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{BA3512A5-1807-43C1-8234-77E8A54036C9}SDs.JPG
11,173.9,79.0,14263,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{D3E2FD94-60CA-4A7A-825F-F4513E0A4611}SDs.JPG
